system:index,COUNTY_NAM,mean
201508_00000000000000000034,Trinity,20.17879988387702
201508_00000000000000000035,Tulare,23.790025640722664
201508_00000000000000000036,Tuolumne,19.06217173108705
201508_00000000000000000037,Ventura,23.709742138281438
201508_0000000000000000003f,Ventura,18.711444926090397
201508_00000000000000000040,Ventura,21.757440185546898
201508_00000000000000000041,Ventura,21.757440185546898
201508_00000000000000000042,Ventura,
201508_00000000000000000038,Yolo,25.115697820470995
201508_00000000000000000039,Yuba,24.556963920077326
201509_00000000000000000000,Alameda,20.20972640796657
201509_00000000000000000001,Alpine,13.799237151014024
201509_00000000000000000002,Amador,20.40356823057409
201509_00000000000000000003,Butte,22.03521943465753
201509_00000000000000000004,Calaveras,21.072440564367835
201509_00000000000000000005,Colusa,23.235692440189222
201509_00000000000000000006,Contra Costa,20.944977625158472
201509_00000000000000000007,Del Norte,15.726166374806965
201509_00000000000000000008,El Dorado,18.597492767651413
